NodeType,EventSymlinkPath
MRS,/core/topologyData/CoreNetwork/
Router_6672,/core/topologyData/CoreNetwork/
UPG,/core/topologyData/CoreNetwork/
CEE,/core/topologyData/CoreNetwork/
WCG,/core/topologyData/CoreNetwork/
DUA-S,/core/topologyData/CoreNetwork/
EIR,/core/topologyData/CoreNetwork/
CPG,/core/topologyData/CoreNetwork/Redback/
CSCF,/core/topologyData/CoreNetwork
CUDB,/core/topologyData/CoreNetwork
EPG,/core/topologyData/CoreNetwork/
HSS,/core/topologyData/CoreNetwork/
IPWorks,/core/topologyData/CoreNetwork/
Isite,/tss/topologyData/IS/
MSC,/outputfiles/core/topologyData/AXE
MTAS,/core/topologyData/CoreNetwork/
PGM,/core/topologyData/CoreNetwork/
SASN,/core/topologyData/CoreNetwork/
SBG,/core/topologyData/CoreNetwork/
SGSN,/core/topologyData/CoreNetwork/
LANSwitch,/snmp/topologyData/Nodes/
MGW,/core/topologyData/CELLO/
